
Big Board speller
Rank
	
Name
	
Time
	
Load
	
Check
	
Size
	
Unload
	
Memory
	
Heap
	
Stack
203	Quak1 	7.125 s	0.846 s	5.880 s	0.000 s	0.399 s	8.0 MB	8.0 MB	2.9 kB
204	Billy-Pilgrim-UIT 	7.125 s	1.097 s	5.665 s	0.000 s	0.362 s	8.0 MB	8.0 MB	3.0 kB
205	FzComet206 	7.127 s	1.054 s	5.731 s	0.000 s	0.342 s	8.0 MB	8.0 MB	3.0 kB
206	jiminy-c 	7.127 s	0.946 s	5.808 s	0.000 s	0.373 s	8.0 MB	8.0 MB	3.0 kB
207	keerthika-27 	7.128 s	0.742 s	5.967 s	0.000 s	0.419 s	8.0 MB	8.0 MB	1.0 kB
208	borja-bonet-segui 	7.129 s	0.800 s	5.957 s	0.000 s	0.372 s	8.0 MB	8.0 MB	3.0 kB
209	yasumotom16 	7.129 s	1.089 s	5.688 s	0.000 s	0.352 s	8.0 MB	8.0 MB	3.0 kB
210	Amanita731 	7.129 s	1.238 s	5.505 s	0.000 s	0.386 s	8.0 MB	8.0 MB	1.0 kB
211	IrfanChairurrachman 	7.129 s	0.900 s	5.867 s	0.000 s	0.362 s	8.0 MB	8.0 MB	3.0 kB
212	Raskol87 	7.129 s	1.055 s	5.643 s	0.000 s	0.432 s	8.0 MB	8.0 MB	2.9 kB
213	damienbose 	7.130 s	1.089 s	5.670 s	0.000 s	0.371 s	8.0 MB	8.0 MB	3.0 kB
214	hannahjg 	7.130 s	0.814 s	5.936 s	0.000 s	0.381 s	8.4 MB	8.4 MB	3.0 kB
215	brianc2730 	7.132 s	0.958 s	5.839 s	0.000 s	0.336 s	8.0 MB	8.0 MB	3.0 kB
216	naimaier 	7.132 s	0.941 s	5.827 s	0.000 s	0.364 s	8.0 MB	8.0 MB	3.0 kB
217	connorrose 	7.133 s	0.968 s	5.778 s	0.000 s	0.388 s	8.0 MB	8.0 MB	3.0 kB
218	tmralmeida 	7.134 s	0.933 s	5.844 s	0.000 s	0.357 s	8.0 MB	8.0 MB	2.9 kB
219	Avoa75 	7.136 s	1.006 s	5.763 s	0.000 s	0.366 s	8.0 MB	8.0 MB	2.9 kB
220	RuGuMa 	7.137 s	0.876 s	5.910 s	0.000 s	0.351 s	8.0 MB	8.0 MB	1.0 kB
221	bernardkung 	7.138 s	0.884 s	5.865 s	0.000 s	0.390 s	8.0 MB	8.0 MB	3.0 kB
222	inkim-i 	7.139 s	0.889 s	5.893 s	0.000 s	0.356 s	8.0 MB	8.0 MB	3.0 kB
223	RyanChoy 	7.140 s	0.981 s	5.716 s	0.000 s	0.443 s	8.0 MB	8.0 MB	2.9 kB
224	thz12345 	7.140 s	0.936 s	5.819 s	0.000 s	0.386 s	8.0 MB	8.0 MB	3.0 kB
225	jeeaecos 	7.141 s	0.938 s	5.845 s	0.000 s	0.358 s	8.0 MB	8.0 MB	960 Bytes
226	domna 	7.141 s	0.852 s	5.924 s	0.000 s	0.366 s	8.0 MB	8.0 MB	1.1 kB
